job_name,job_desc,item_name,description,qty,unitPrice,unitCost,costType,costCode,isTaxable
Job 2002,Pool Room,Mechanical surface preparation labor,"Perform heavy grinding, diamond grinding, or shot blasting.
Objective: open the concrete pores and create a surface profile for mechanical bonding.
The surface should have a rough texture similar to c",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Repair labor,"Cracks must be opened and treated with epoxy filler or repair mortar.
Holes and surface defects must be leveled",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply a primer compatible with the selected system.
The primer penetrates the pores and promotes chemical bonding between the concrete and coating",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply according to the specified thickness (typically 2 to 4 mm for technical areas).
For severe chemical environments, a 2-coat system is recommended.",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Plumbing,,,,,Subcontractor,Plumbing,False
Job 2002,Pool Room,Disconnect,"Shut down the system
Drain tank and piping
Disconnect the pump and filter
Cut and cap supply/return lines
Remove tank and equipment (leave onsite)",,,,Equipment,Uncategorized,True
Job 2002,Pool Room,Reconnect,"Reset the tank on the stand
Reinstall the pump and filter
Reconnect all PVC piping
Replace unions, fittings, and valves as required
Pressure test and leak check
Startup and operational check",,,,Equipment,Uncategorized,True
Job 2002,Pool Room,Finish Epoxy,,,4978.000000000001,2986.8,Labor,Uncategorized,False
Job 2002,Pool Room,Finish Plumbing,,,4863.000000000001,2917.8,Labor,Uncategorized,False
Job 2002,Pool Room,Demolition Labor,"Removal and disposal of 4 feet of existing drywall panels from the walls.
Inspection of framing and insulation for moisture damage",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Substrate preparation labor,"Installation of vapor barrier or moisture membrane (if not already present or if damaged)
Treatment of framing with anti-microbial solution (if necessary)",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement baker board labor,"Installation of cementitious backer board panels
Proper fastening with corrosion-resistant screws
Sealing of joints using alkali-resistant fiberglass mesh tape
Application of thin-set mortar or an app",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement backerboard,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Waterproofing labor,"Application of a liquid waterproofing membrane over cement board
This additional waterproofing layer provides enhanced protection against vapor migration and water intrusion.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Waterproofing membrane,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Finish Pool Room,Application of moisture-resistant coating,,5948.000000000001,3568.8,Labor,Uncategorized,False
Job 2002,Pool Room,Concrete evaluation labor,Moisture levels must be checked — excessive moisture can cause blistering and delamination,,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cleaning labor,"Remove dust, oil, grease, chemical residues, and contaminants.
Use appropriate degreasers if necessary

Rinse thoroughly and allow complete drying",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Mechanical surface preparation labor,"Perform heavy grinding, diamond grinding, or shot blasting.
Objective: open the concrete pores and create a surface profile for mechanical bonding.
The surface should have a rough texture similar to c",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Repair labor,"Cracks must be opened and treated with epoxy filler or repair mortar.
Holes and surface defects must be leveled",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply a primer compatible with the selected system.
The primer penetrates the pores and promotes chemical bonding between the concrete and coating",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply according to the specified thickness (typically 2 to 4 mm for technical areas).
For severe chemical environments, a 2-coat system is recommended.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Finish Epoxy,"Respect the full curing time before putting the area back into service - 48 hours after application.
Avoid contact with water or chemicals during the curing process.",,4978.000000000001,2986.8,Labor,Uncategorized,False
Job 2002,Pool Room,Plumbing,,,0,0,Subcontractor,Plumbing,False
Job 2002,Pool Room,Disconnect,"Shut down the system
Drain tank and piping
Disconnect the pump and filter
Cut and cap supply/return lines
Remove tank and equipment (leave onsite)",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Reconnect,"Reset the tank on the stand
Reinstall the pump and filter
Reconnect all PVC piping
Replace unions, fittings, and valves as required
Pressure test and leak check
Startup and operational check",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Finish Plumbing,,,4863.000000000001,2917.8,Labor,Uncategorized,False
Job 2002,Pool Room,Pool Room,Application of moisture-resistant coating,,,,Labor,Uncategorized,False
Job 2002,Pool Room,Epoxy,"Respect the full curing time before putting the area back into service - 48 hours after application.
Avoid contact with water or chemicals during the curing process.",,,,Labor,Uncategorized,False
Job 2002,Pool Room,Demolition Labor,"Removal and disposal of 4 feet of existing drywall panels from the walls.
Inspection of framing and insulation for moisture damage",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Substrate preparation labor,"Installation of vapor barrier or moisture membrane (if not already present or if damaged)
Treatment of framing with anti-microbial solution (if necessary)",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement baker board labor,"Installation of cementitious backer board panels
Proper fastening with corrosion-resistant screws
Sealing of joints using alkali-resistant fiberglass mesh tape
Application of thin-set mortar or an app",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Waterproofing labor,"Application of a liquid waterproofing membrane over cement board
This additional waterproofing layer provides enhanced protection against vapor migration and water intrusion.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Pool Room,Application of moisture-resistant coating,,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Concrete evaluation labor,Moisture levels must be checked — excessive moisture can cause blistering and delamination,,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cleaning labor,"Remove dust, oil, grease, chemical residues, and contaminants.
Use appropriate degreasers if necessary

Rinse thoroughly and allow complete drying",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Mechanical surface preparation labor,"Perform heavy grinding, diamond grinding, or shot blasting.
Objective: open the concrete pores and create a surface profile for mechanical bonding.
The surface should have a rough texture similar to c",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Repair labor,"Cracks must be opened and treated with epoxy filler or repair mortar.
Holes and surface defects must be leveled",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply a primer compatible with the selected system.
The primer penetrates the pores and promotes chemical bonding between the concrete and coating",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply according to the specified thickness (typically 2 to 4 mm for technical areas).
For severe chemical environments, a 2-coat system is recommended.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Epoxy,"Respect the full curing time before putting the area back into service - 48 hours after application.
Avoid contact with water or chemicals during the curing process.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Disconnect,"Shut down the system
Drain tank and piping
Disconnect the pump and filter
Cut and cap supply/return lines
Remove tank and equipment (leave onsite)",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Reconnect,"Reset the tank on the stand
Reinstall the pump and filter
Reconnect all PVC piping
Replace unions, fittings, and valves as required
Pressure test and leak check
Startup and operational check",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Demolition Labor,"Removal and disposal of 4 feet of existing drywall panels from the walls.
Inspection of framing and insulation for moisture damage",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Substrate preparation labor,"Installation of vapor barrier or moisture membrane (if not already present or if damaged)
Treatment of framing with anti-microbial solution (if necessary)",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement baker board labor,"Installation of cementitious backer board panels
Proper fastening with corrosion-resistant screws
Sealing of joints using alkali-resistant fiberglass mesh tape
Application of thin-set mortar or an app",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement backerboard,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Waterproofing labor,"Application of a liquid waterproofing membrane over cement board
This additional waterproofing layer provides enhanced protection against vapor migration and water intrusion.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Waterproofing membrane,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Finish Pool Room,Application of moisture-resistant coating,,2974,1784.4,Labor,Uncategorized,False
Job 2002,Pool Room,Concrete evaluation labor,Moisture levels must be checked — excessive moisture can cause blistering and delamination,,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cleaning labor,"Remove dust, oil, grease, chemical residues, and contaminants.
Use appropriate degreasers if necessary

Rinse thoroughly and allow complete drying",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Mechanical surface preparation labor,"Perform heavy grinding, diamond grinding, or shot blasting.
Objective: open the concrete pores and create a surface profile for mechanical bonding.
The surface should have a rough texture similar to c",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Repair labor,"Cracks must be opened and treated with epoxy filler or repair mortar.
Holes and surface defects must be leveled",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply a primer compatible with the selected system.
The primer penetrates the pores and promotes chemical bonding between the concrete and coating",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply according to the specified thickness (typically 2 to 4 mm for technical areas).
For severe chemical environments, a 2-coat system is recommended.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Finish Epoxy,"Respect the full curing time before putting the area back into service - 48 hours after application.
Avoid contact with water or chemicals during the curing process.",,2489,1493.4,Labor,Uncategorized,False
Job 2002,Pool Room,Plumbing,,,0,0,Subcontractor,Plumbing,False
Job 2002,Pool Room,Disconnect,"Shut down the system
Drain tank and piping
Disconnect the pump and filter
Cut and cap supply/return lines
Remove tank and equipment (leave onsite)",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Reconnect,"Reset the tank on the stand
Reinstall the pump and filter
Reconnect all PVC piping
Replace unions, fittings, and valves as required
Pressure test and leak check
Startup and operational check",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Finish Plumbing,,,2431.5,1458.9,Labor,Uncategorized,False
Job 2002,Pool Room,Demolition Labor,"Removal and disposal of 4 feet of existing drywall panels from the walls.
Inspection of framing and insulation for moisture damage",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Substrate preparation labor,"Installation of vapor barrier or moisture membrane (if not already present or if damaged)
Treatment of framing with anti-microbial solution (if necessary)",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement baker board labor,"Installation of cementitious backer board panels
Proper fastening with corrosion-resistant screws
Sealing of joints using alkali-resistant fiberglass mesh tape
Application of thin-set mortar or an app",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cement backerboard,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Waterproofing labor,"Application of a liquid waterproofing membrane over cement board
This additional waterproofing layer provides enhanced protection against vapor migration and water intrusion.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Waterproofing membrane,,,0,0,Materials,Uncategorized,True
Job 2002,Pool Room,Finish Pool Room,Application of moisture-resistant coating,,2974,1784.4,Labor,Uncategorized,False
Job 2002,Pool Room,Concrete evaluation labor,Moisture levels must be checked — excessive moisture can cause blistering and delamination,,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Cleaning labor,"Remove dust, oil, grease, chemical residues, and contaminants.
Use appropriate degreasers if necessary

Rinse thoroughly and allow complete drying",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Mechanical surface preparation labor,"Perform heavy grinding, diamond grinding, or shot blasting.
Objective: open the concrete pores and create a surface profile for mechanical bonding.
The surface should have a rough texture similar to c",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Repair labor,"Cracks must be opened and treated with epoxy filler or repair mortar.
Holes and surface defects must be leveled",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply a primer compatible with the selected system.
The primer penetrates the pores and promotes chemical bonding between the concrete and coating",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Application of epoxy labor,"Apply according to the specified thickness (typically 2 to 4 mm for technical areas).
For severe chemical environments, a 2-coat system is recommended.",,0,0,Labor,Uncategorized,False
Job 2002,Pool Room,Finish Epoxy,"Respect the full curing time before putting the area back into service - 48 hours after application.
Avoid contact with water or chemicals during the curing process.",,2489,1493.4,Labor,Uncategorized,False
Job 2002,Pool Room,Plumbing,,,0,0,Subcontractor,Plumbing,False
Job 2002,Pool Room,Disconnect,"Shut down the system
Drain tank and piping
Disconnect the pump and filter
Cut and cap supply/return lines
Remove tank and equipment (leave onsite)",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Reconnect,"Reset the tank on the stand
Reinstall the pump and filter
Reconnect all PVC piping
Replace unions, fittings, and valves as required
Pressure test and leak check
Startup and operational check",,0,0,Equipment,Uncategorized,True
Job 2002,Pool Room,Finish Plumbing,,,2431.5,1458.9,Labor,Uncategorized,False
Job 2002,Pool Room,Inspection and evaluation labor,,,,,Labor,Uncategorized,False
Job 2002,Pool Room,Final inspection,,,,,Labor,Uncategorized,False
Job 2002,Pool Room,Materials Northern,,,,,Materials,Uncategorized,False
Job 2002,Pool Room,Uncategorized Item,,,,74.89,Materials,Uncategorized,True
Job 2002,Pool Room,Fuel,,,,,Materials,Uncategorized,False
Job 2002,Pool Room,Uncategorized Item,,,,84.53,Materials,Uncategorized,True
Job 2002,Pool Room,Materials Sherwin-Williams,,,,,Materials,Uncategorized,False
Job 2002,Pool Room,Uncategorized Item,,,,26.29,Materials,Uncategorized,True
Job 2002,Pool Room,Materials The Home Depot,,,,,Materials,Uncategorized,False
Job 2002,Pool Room,Uncategorized Item,,,,466.39,Materials,Uncategorized,True
Job 2002,Pool Room,Supplier The Home Depot,,,,98.52,Materials,Uncategorized,True
Job 2002,Pool Room,Materials Lowe's,,,,,Equipment,Uncategorized,False
Job 2003,,Pressure Washer,Complete Pressure Washing for the entire exterior of the building,,,,Equipment,Uncategorized,False
Job 2003,,Thorough Preparation,"Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.",,,,Equipment,Uncategorized,False
Job 2003,,Painting,"Professional Painting of Fascia, Soffit, Walls, Trim, and Doors.",,,,Equipment,Uncategorized,False
Job 2003,,Preparation,"Preparation, masking, filling cracks and holes, and caulking gaps.",,,,Equipment,Uncategorized,True
Job 2003,,Painting Walls,,,,,Equipment,Uncategorized,True
Job 2003,,Concrete evaluation labor,,,,,Labor,Uncategorized,False
Job 2003,,Cleaning labor,"Remove debris from the floor with a blower or, if necessary, use a pressure washer.",,,,Labor,Uncategorized,False
Job 2003,,Mechanical surface preparation labor,,,,,Labor,Uncategorized,False
Job 2003,,Repair labor,Sand if necessary to level the floor and remove imperfections,,,,Labor,Uncategorized,False
Job 2003,,Application of epoxy labor,,,,,Labor,Uncategorized,False
Job 2003,,Application of epoxy labor,,,,,Labor,Uncategorized,False
Job 2003,,Finish Epoxy,,,12980.000000000004,7788,Labor,Uncategorized,False
Job 2003,,72 in. x 80 in. Primed Right-Hand/Outswing Steel French Patio Door w/15 Lite Low-E Glass and External Grids,,,2499.576916567947,1477,Materials,Doors & Windows,False
Job 2003,,Remove and install double entry door,,,2480.416666666667,1488.25,Labor,Uncategorized,False
Job 2003,,Hardie Trim Cement,,,2375,1425,Labor,Uncategorized,False
Job 2003,,Refinish Exterior Collumns,,2,990,594,Labor,Uncategorized,False
Job 2003,,Baseboard Molding Installation,,350,6.8999999999999995,4.14,Labor,Uncategorized,False
Job 2003,,Crown Molding Installation,,350,7.5,4.5,Labor,Uncategorized,False
Job 2003,,Art Way Installation,,,750,450,Labor,Uncategorized,False
Job 2003,,Finish Paiting,,,4290,2574,Labor,Uncategorized,False
Job 2003,,Finish Paiting,,,3690,2214,Labor,Uncategorized,False
Job 2003,,Pressure Washer,Complete Pressure Washing for the entire exterior of the building,,0,0,Equipment,Uncategorized,False
Job 2003,,Thorough Preparation,"Thorough Preparation, including Masking, Filling Cracks and Holes, and Caulking Gaps.",,0,0,Equipment,Uncategorized,False
Job 2003,,Painting,"Professional Painting of Fascia, Soffit, Walls, Trim, and Doors.",,0,0,Equipment,Uncategorized,False
Job 2003,,Finish Paiting,,,4290,2574,Labor,Uncategorized,False
Job 2003,,Preparation,"Preparation, masking, filling cracks and holes, and caulking gaps.",,0,0,Equipment,Uncategorized,True
Job 2003,,Painting Walls,,,0,0,Equipment,Uncategorized,True
Job 2003,,Finish Paiting,,,3690,2214,Labor,Uncategorized,False
Job 2003,,Concrete evaluation labor,,,0,0,Labor,Uncategorized,False
Job 2003,,Cleaning labor,"Remove debris from the floor with a blower or, if necessary, use a pressure washer.",,0,0,Labor,Uncategorized,False
Job 2003,,Mechanical surface preparation labor,,,0,0,Labor,Uncategorized,False
Job 2003,,Repair labor,Sand if necessary to level the floor and remove imperfections,,0,0,Labor,Uncategorized,False
Job 2003,,Application of epoxy labor,,,0,0,Labor,Uncategorized,False
Job 2003,,Application of epoxy labor,,,0,0,Labor,Uncategorized,False
Job 2003,,Finish Epoxy,,,12980.000000000004,7788,Labor,Uncategorized,False
Job 2003,,72 in. x 80 in. Primed Right-Hand/Outswing Steel French Patio Door w/15 Lite Low-E Glass and External Grids,,,2499.576916567947,1477,Materials,Doors & Windows,False
Job 2003,,Remove and install double entry door,,,2480.416666666667,1488.25,Labor,Uncategorized,False
Job 2003,,Hardie Trim Cement,,,2375,1425,Labor,Uncategorized,False
Job 2003,,Refinish Exterior Collumns,,2,990,594,Labor,Uncategorized,False
Job 2003,,Baseboard Molding Installation,,350,6.8999999999999995,4.14,Labor,Uncategorized,False
Job 2003,,Crown Molding Installation,,350,7.5,4.5,Labor,Uncategorized,False
Job 2003,,Art Way Installation,,,750,450,Labor,Uncategorized,False
Job 2003,,Inspection and evaluation labor,,,,,Labor,Uncategorized,False
Job 2003,,Final inspection,,,,,Labor,Uncategorized,False
Job 2004,Deck and more,Supply and install 68 linear feet of 36-inch-high aluminum railings,"Supply and install 68 linear feet of 36-inch-high aluminum railings featuring 2""x1"" top and bottom rails, ¾""
vertical pickets spaced less than 4"" apart, and 2""x2"" posts in accordance with drawings A1.",1,18767.000000000004,11260.2,Labor,Uncategorized,False
